USER, FRIENDCOUNT
Uloma,482
Chima,357
Tibidabo,2143
Hany,1250
Deborah,907
Udochi,256
Ekene,1757
Kalpesh,635
Attiya,266
Jennifer,323
Hope,55
Wilodi,253
Mat,457
Alex,139
Babitha,266
Victoria,949
Udeme,537
Wayne,431
Scott,579
D-rep,595
Caroline,654
Worlu,748
Shelby,127
Rasmus,984
Victor,155
Jose,195
Mc,283
Kurnia,3955
Ashish,356
Steve,1931
Samuel,361
Karthik,383
Vasanth,571
Konstance,993
Ben,467
Hari,561
Eric,643
Raghav,348
Shannon,339
Sylvester,397
Arun,434
Ravi,510
Ogbondah,167
Tyler,821
Orji,325
Egbo,758
Lovelyn,122
Peace,205
Wali,322
Dennis,135
Sokari,851
Corey,1446
Ernst,48
Tebo,776
Kamesh,450
Justin,1559
Terrence,287
Navuluri,708
Ramesh,108
Ejim,536
Nyebuchi,495
Tilman,85
Onuchukwu,238
Whitehead,693
Akong,827
Maxwell,474
Chuks,360
Tony,633
Nworgu,577
Nisot,225
Okereke,261
Salvation,320
Madume,707
Melody,146
Joy,191
Leedee,311
Michael,591
Kingdom,76
Eunice,486
Sharon,1
Akers,51
Obuzor,395
Udume,290
Chukwuemeka,389
Piya,267
Iwuh,1145
Anne,68
Osakpolo,20
Harcourt,705
Joel,94
Dupri,451
Jerry,627
Kaycee,1427
Udeh,40
Wobo,393
Fortune,210
Mirian,341
Nwala,916
